Ads1,Site1,Ads2,Site2,Slab,eV,Gf,energyML,Std,energyDFT
CH,top_metal,NH2,top_metal,slab,6.958481664600001,7.5352316646,7.063907781559774,0.6530239181910179,7.5352316646
CH2,top_metal,NH2,top_metal,slab,4.2228510157,4.9433510157,5.235774333199032,0.6466591163345269,4.9433510157
NO,top_metal,NH2,top_metal,slab,3.6053037549,3.9153037549,3.451187299167267,0.6757543931003925,3.9153037549
NH,top_metal,NH2,top_metal,slab,3.2510014004000003,3.4972514004000006,4.05634197925837,0.6583904627998758,3.4972514004000006
NH2,top_metal,NH2,top_metal,slab,0.8731733992,1.3291733992,1.8497852354422903,0.6483460886389243,1.3291733992
NH3,top_metal,NH2,top_metal,slab,-1.4945020300999998,-0.9497520301,-0.7440052632287397,0.6587265519405007,-0.9497520301000001
NH3,top_metal,NH3,top_metal,slab,-0.9042419492,-0.35949194920000005,-0.9337594532072764,0.2840585720529808,-0.35949194920000005
O,top_metal,NH3,top_metal,slab,4.255944019,4.479444019000001,4.637409780039299,0.3348929985998685,4.479444019000001
OH,top_metal,NH3,top_metal,slab,1.6074849415,1.9747349415,1.8298404801300325,0.286056559843772,1.9747349415
H2O,top_metal,NH3,top_metal,slab,0.0479749159,0.6019749159000001,0.26836384783433775,0.2867759624192383,0.6019749159000001
CO,top_metal,NH3,top_metal,slab,3.1230966502,3.7885966502,3.6548968957134287,0.2913051148149337,3.7885966501999997
CH,top_metal,NH3,top_metal,slab,6.8962794063,7.4730294063,7.051620617286872,0.28126809044660556,7.4730294063
NO,top_metal,NH3,top_metal,slab,3.6102552766000002,3.9202552766000003,3.754532947988296,0.2913051148149154,3.9202552766
NH,top_metal,NH3,top_metal,slab,3.4812468192000003,3.7274968192000006,3.1316627851118035,0.2837650402646108,3.7274968192000006
NH2,top_metal,NH3,top_metal,slab,1.1280040423000002,1.5840040423,1.1911512751363134,0.2784847246249964,1.5840040423
H2O,top_metal,NO,top_metal,slab,-0.1504196998,0.4035803002,0.2685604102555068,0.2917871780021575,0.4035803002
CO,top_metal,NO,top_metal,slab,3.1052465185000004,3.7707465185,3.622444039475193,0.29700396479880015,3.7707465185
CH2,top_metal,NO,top_metal,slab,4.6991904506,5.419690450599999,5.143362337171705,0.27684794275880936,5.419690450599999
NO,top_metal,NO,top_metal,slab,3.4719525394,3.7819525394,3.7393519104306794,0.2970039647987912,3.7819525393999998
NH2,top_metal,NO,top_metal,slab,1.1293756327,1.5853756327000001,1.2562514495354833,0.28260538721943856,1.5853756327
NH3,top_metal,NO,top_metal,slab,-1.4881789179999998,-0.9434289179999998,-0.927793917026019,0.28904386629639783,-0.9434289179999998
OH,top_metal,O,top_metal,slab,1.8891115988,2.2563615988000003,1.7304899577729396,1.483078409579048,2.2563615988000003
O2,top_metal,O,top_metal,slab,5.1246569858,5.5256569858,4.96574786912276,1.5845319467841477,5.5256569858
CO,top_metal,O,top_metal,slab,2.8575475742000003,3.5230475742000005,2.8469766951338134,1.3917627645306538,3.5230475742000005
NH,top_metal,O,top_metal,slab,3.0204027776999998,3.2666527777000005,3.680070939178286,1.3690025343994379,3.2666527777000005
NH2,top_metal,O,top_metal,slab,0.6446803943000001,1.1006803943,1.6501236546419804,1.361936105111202,1.1006803943
NH3,top_metal,O,top_metal,slab,-1.9921670362,-1.4474170362000005,-0.29758007107100326,1.369811027624944,-1.4474170362000005
CH2,top_metal,O,top_metal,slab,4.2226991761,4.9431991761,4.65206164474688,1.3730956635448746,4.9431991761
O,top_metal,O2,top_metal,slab,4.3909438369,4.6144438369000005,4.789916204996734,0.3179806861149488,4.6144438369000005
H2,top_metal,O2,top_metal,slab,-0.1948895455,-0.2153895455,0.5502199416562537,0.26852701479073926,-0.2153895455
O,top_metal,OH,top_metal,slab,4.7673038405,4.990803840500001,4.381499012235673,1.3762392333863305,4.990803840500001
OH,top_metal,OH,top_metal,slab,2.1177682802,2.4850182802000003,1.9126058025100265,1.3346115811507258,2.4850182802000003
H2O,top_metal,OH,top_metal,slab,-0.1296246148,0.4243753852000001,0.28059419018116616,1.2514811378142356,0.4243753852000001
CO,top_metal,OH,top_metal,slab,3.0759050143,3.7414050143,2.9152972897826195,1.2523795616049018,3.7414050143
CH2,top_metal,OH,top_metal,slab,4.9791880976,5.6996880976,4.83154957622499,1.2329667716986847,5.6996880976
NH,top_metal,OH,top_metal,slab,3.4450251855,3.6912751855,3.8477799911355532,1.2303330509114287,3.6912751855000003
NH2,top_metal,OH,top_metal,slab,0.8597138262999999,1.3157138263,1.7474785908094184,1.2229600855379446,1.3157138263
NH3,top_metal,OH,top_metal,slab,-1.762433872,-1.217683872,-0.3882070549953145,1.2309894164242599,-1.217683872
H,top_metal,H,bridge,slab_vac,1.0227567716,1.0715067716,0.9215133472339065,0.2568325406603763,1.0715067716
H2,top_metal,H,bridge,slab_vac,-0.1763811702,-0.13488117019999998,-0.1291023640733826,0.25683254407128936,-0.13488117019999998
O,top_metal,H,bridge,slab_vac,2.547753661,2.7942536610000004,3.2277602290287697,1.0625674418375084,2.7942536610000004
OH,top_metal,H,bridge,slab_vac,-0.026769604199999998,0.36848039579999997,0.4039259558607826,0.3106356220080643,0.3684803958
H2O,top_metal,H,bridge,slab_vac,-0.1494983219,0.3785016781,0.2674274275745363,0.3015117030862073,0.3785016781
C,top_metal,H,bridge,slab_vac,8.425054024,8.940054024,7.036685907354279,1.215071701630754,8.940054024
CO,top_metal,H,bridge,slab_vac,3.0229588485,3.7094588485,3.810115424428975,0.3074095537111471,3.7094588485
CH,top_metal,H,bridge,slab_vac,6.167193993300001,6.7309439933,5.853051752469582,0.29229509012549076,6.7309439933
CH2,top_metal,H,bridge,slab_vac,3.7308499256,4.4493499256,4.072520342250037,0.28124680039430694,4.4493499256
CH3,top_metal,H,bridge,slab_vac,1.4265456202000002,2.4087956202000003,2.3353359884868254,0.21221425285502127,2.4087956202000003
N,top_metal,H,bridge,slab_vac,5.1391921655,5.3006921655,4.01372064780227,0.30730023715162413,5.3006921655
N2,top_metal,H,bridge,slab_vac,0.273421741,0.5404217410000001,0.5826497060551108,0.3074095537111558,0.5404217410000001
NO,top_metal,H,bridge,slab_vac,3.2692544414999998,3.7122544415,3.625944210045213,0.3074095537111558,3.7122544415
NH,top_metal,H,bridge,slab_vac,2.1731668433,2.5004168433000005,1.3833357668431532,0.2928473852331815,2.5004168433000005
NH2,top_metal,H,bridge,slab_vac,-0.3639325888,0.07806741119999996,0.07542126938540505,0.2875804852519775,0.07806741119999996
NH3,top_metal,H,bridge,slab_vac,-1.4607424836000005,-0.7189924836000002,-0.6701447520386843,0.296675204738279,-0.7189924836000002
H,bridge,H,top_metal,slab_vac,-0.2718745159,-0.1881245159,-0.18520076351783388,0.30475673200212205,-0.1881245159
H,bridge,H2,top_metal,slab_vac,-0.4170209193,-0.3332709193,-0.16709690706137081,0.27865468031662566,-0.3332709193
H,bridge,O,top_metal,slab_vac,1.4287290328,1.5124790328,1.4272387586791115,2.0314772212896495,1.5124790328
